iter	Passed	Remaining
627	1531	907
628	1532	904
629	1534	901
630	1536	898
631	1538	895
632	1540	892
633	1541	890
634	1543	887
635	1545	884
636	1546	881
637	1548	878
638	1549	875
639	1553	873
640	1555	871
641	1557	868
642	1558	865
643	1560	862
644	1561	859
645	1563	856
646	1565	853
647	1567	851
648	1568	848
649	1570	845
650	1571	842
651	1573	839
652	1575	837
653	1576	834
654	1578	831
655	1580	828
656	1584	826
657	1585	824
658	1587	821
659	1588	818
660	1590	815
661	1592	812
662	1593	810
663	1595	807
664	1597	804
665	1599	802
666	1601	799
667	1602	796
668	1603	793
669	1605	790
670	1607	788
671	1609	785
672	1611	783
673	1613	780
674	1615	777
675	1616	774
676	1618	772
677	1620	769
678	1621	766
679	1623	763
680	1625	761
681	1627	758
682	1629	756
683	1630	753
684	1632	750
685	1634	747
686	1635	745
687	1637	742
688	1638	739
689	1642	738
690	1644	735
691	1646	732
692	1647	730
693	1649	727
694	1651	724
695	1652	721
696	1654	719
697	1656	716
698	1658	714
699	1660	711
700	1662	708
701	1663	706
702	1665	703
703	1666	700
704	1668	698
705	1672	696
706	1674	693
707	1676	691
708	1678	688
709	1679	686
710	1681	683
711	1683	680
712	1684	678
713	1687	675
714	1689	673
715	1691	670
716	1692	668
717	1694	665
718	1696	662
719	1697	660
720	1699	657
721	1701	655
722	1703	652
723	1704	649
724	1706	647
725	1707	644
726	1709	641
727	1711	639
728	1712	636
729	1715	634
730	1716	631
731	1718	629
732	1719	626
733	1721	623
734	1722	621
735	1724	618
736	1726	616
737	1729	614
738	1731	611
739	1733	609
740	1734	606
741	1736	603
742	1737	601
743	1739	598
744	1741	595
745	1742	593
746	1745	591
747	1746	588
748	1748	585
749	1749	583
750	1751	580
751	1753	578
752	1754	575
753	1756	573
754	1760	571
755	1762	568
756	1763	566
757	1765	563
758	1767	561
759	1768	558
760	1770	556
761	1772	553
762	1774	551
763	1776	548
764	1778	546
765	1779	543
766	1781	541
767	1782	538
768	1784	535
769	1786	533
770	1789	531
771	1791	528
772	1792	526
773	1794	523
774	1795	521
775	1797	518
776	1799	516
777	1800	513
778	1803	511
779	1805	509
780	1807	506
781	1808	504
782	1810	501
783	1812	499
784	1813	496
785	1815	494
786	1817	491
787	1820	489
788	1821	487
789	1823	484
790	1825	482
791	1826	479
792	1828	477
793	1829	474
794	1831	472
795	1833	469
796	1835	467
797	1837	465
798	1838	462
799	1840	460
800	1842	457
801	1843	455
802	1845	452
803	1846	450
804	1850	448
805	1852	445
806	1853	443
807	1855	440
808	1856	438
809	1858	435
810	1860	433
811	1862	431
812	1864	428
813	1866	426
814	1867	423
815	1869	421
816	1871	419
817	1872	416
818	1874	414
819	1876	411
820	1880	410
821	1882	407
822	1884	405
823	1885	402
824	1887	400
825	1889	397
826	1890	395
827	1893	393
828	1895	390
829	1897	388
830	1898	386
831	1900	383
832	1902	381
833	1903	378
834	1905	376
835	1911	374
836	1913	372
837	1914	370
838	1916	367
839	1918	365
840	1919	362
841	1921	360
842	1924	358
843	1926	356
844	1927	353
845	1929	351
846	1931	348
847	1932	346
848	1934	344
849	1936	341
850	1938	339
851	1940	337
852	1942	334
853	1943	332
854	1945	329
855	1947	327
856	1948	325
857	1950	322
858	1953	320
859	1955	318
860	1957	316
861	1959	313
862	1960	311
863	1962	308
864	1964	306
865	1965	304
866	1971	302
867	1973	300
868	1974	297
869	1976	295
870	1978	293
871	1980	290
872	1982	288
873	1984	286
874	1986	283
875	1988	281
876	1989	279
877	1991	276
878	1993	274
879	1995	272
880	1998	269
881	2000	267
882	2002	265
883	2003	262
884	2005	260
885	2006	258
886	2008	255
887	2010	253
888	2012	251
889	2014	248
890	2015	246
891	2017	244
892	2019	241
893	2020	239
894	2022	237
895	2023	234
896	2025	232
897	2029	230
898	2031	228
899	2032	225
900	2034	223
901	2035	221
902	2037	218
903	2039	216
904	2040	214
905	2042	211
906	2045	209
907	2046	207
908	2048	205
909	2049	202
910	2051	200
911	2053	198
912	2054	195
913	2058	193
914	2060	191
915	2061	189
916	2063	186
917	2065	184
918	2066	182
919	2068	179
920	2070	177
921	2072	175
922	2073	173
923	2075	170
924	2077	168
925	2079	166
926	2080	163
927	2082	161
928	2084	159
929	2086	157
930	2088	154
931	2090	152
932	2092	150
933	2093	147
934	2095	145
935	2096	143
936	2098	141
937	2100	138
938	2102	136
939	2103	134
940	2105	132
941	2107	129
942	2108	127
943	2110	125
944	2112	122
945	2113	120
946	2115	118
947	2117	116
948	2119	113
949	2120	111
950	2122	109
951	2123	107
952	2125	104
953	2126	102
954	2128	100
955	2130	98
956	2132	95
957	2134	93
958	2135	91
959	2137	89
960	2139	86
961	2140	84
962	2142	82
963	2143	80
964	2147	77
965	2148	75
966	2150	73
967	2152	71
968	2153	68
969	2155	66
970	2156	64
971	2158	62
972	2161	59
973	2162	57
974	2164	55
975	2166	53
976	2167	51
977	2169	48
978	2171	46
979	2173	44
980	2177	42
981	2179	39
982	2180	37
983	2182	35
984	2184	33
985	2186	31
986	2187	28
987	2189	26
988	2191	24
989	2192	22
990	2194	19
991	2196	17
992	2197	15
993	2199	13
994	2201	11
995	2202	8
996	2206	6
997	2208	4
998	2209	2
999	2211	0
